Edge name,Node A,Node B,X of A,Y of A,X of B,Y of B,Avg Speed,Med Speed
427,346,468,-87.652943788,41.7212894123,-87.6432176471,41.721458137,27.357093742837495,28.0
428,468,139,-87.6432176471,41.721458137,-87.6286374339,41.7217099903,26.721178088471923,27.0
429,139,374,-87.6286374339,41.7217099903,-87.6205327319,41.7217734155,23.401443960577584,23.0
430,374,454,-87.6205327319,41.7217734155,-87.6141238209,41.7218705184,29.36419894567958,29.75
439,425,331,-87.7413788983,41.7491988649,-87.7316053336,41.749341041,28.17212926885171,29.0
440,331,466,-87.7316053336,41.749341041,-87.7219239835,41.7495525981,28.221980288792114,28.0
441,466,336,-87.7219239835,41.7495525981,-87.7118891515,41.749683436,21.37290854916342,21.0
442,336,318,-87.7118891515,41.749683436,-87.7024147449,41.7497131344,26.36649094659638,27.0
443,318,317,-87.7024147449,41.7497131344,-87.6926378265,41.7499030365,28.168462067384826,28.0
444,317,487,-87.6926378265,41.7499030365,-87.6827999089,41.7500768239,23.10932844373138,23.0
445,487,302,-87.6827999089,41.7500768239,-87.6730838417,41.7502803437,25.377377950951182,25.0
446,302,507,-87.6730838417,41.7502803437,-87.6634537368,41.7503925553,19.242837497135,18.0
447,507,424,-87.6634537368,41.7503925553,-87.6536944568,41.7504519568,20.402704561081823,20.0
448,424,504,-87.6536944568,41.7504519568,-87.6440073209,41.7506405185,17.477538391015358,17.0
449,317,318,-87.6926378265,41.7499030365,-87.7024147449,41.7497131344,31.00561540224616,31.0
450,487,317,-87.6827999089,41.7500768239,-87.6926378265,41.7499030365,25.721980288792114,25.625
451,302,487,-87.6730838417,41.7502803437,-87.6827999089,41.7500768239,24.997593399038045,25.0
452,507,302,-87.6634537368,41.7503925553,-87.6730838417,41.7502803437,21.6325922530369,21.0
453,424,507,-87.6536944568,41.7504519568,-87.6634537368,41.7503925553,19.61402704561082,18.0
454,504,424,-87.6440073209,41.7506405185,-87.6536944568,41.7504519568,16.56578042631217,16.0
455,343,504,-87.634195357,41.7507416333,-87.6440073209,41.7506405185,20.600848040339216,20.0
456,454,357,-87.6141238209,41.7218705184,-87.6045028178,41.7220887121,28.238253495301397,29.0
457,357,128,-87.6045028178,41.7220887121,-87.5947329753,41.7221397437,29.986591794636716,33.0
458,128,465,-87.5947329753,41.7221397437,-87.5851206518,41.7223448274,33.71281228512491,34.0
459,465,298,-87.5851206518,41.7223448274,-87.5753665052,41.7225050884,26.838834135534263,27.0
460,298,297,-87.5753665052,41.7225050884,-87.5598730411,41.7226376331,28.143479257391704,29.0
463,182,390,-87.6727269932,41.7210268009,-87.6820559707,41.7209458137,25.239857895943157,25.0
464,433,182,-87.6626457403,41.7212001622,-87.6727269932,41.7210268009,23.36660554664222,24.0
465,346,433,-87.652943788,41.7212894123,-87.6626457403,41.7212001622,25.830391932156772,26.2
466,468,346,-87.6432176471,41.721458137,-87.652943788,41.7212894123,25.10772404308893,25.0
467,139,468,-87.6286374339,41.7217099903,-87.6432176471,41.721458137,26.57242722897089,27.0
468,374,139,-87.6205327319,41.7217734155,-87.6286374339,41.7217099903,21.8668347467339,21.0
469,454,374,-87.6141238209,41.7218705184,-87.6205327319,41.7217734155,29.31354572541829,29.0
470,357,454,-87.6045028178,41.7220887121,-87.6141238209,41.7218705184,28.575865230346093,29.0
471,128,357,-87.5947329753,41.7221397437,-87.6045028178,41.7220887121,34.93261517304607,37.0
472,465,128,-87.5851206518,41.7223448274,-87.5947329753,41.7221397437,35.85388494155398,36.0
473,298,465,-87.5753665052,41.7225050884,-87.5851206518,41.7223448274,26.210176484070594,26.45
474,297,298,-87.5598730411,41.7226376331,-87.5753665052,41.7225050884,27.268622507449003,27.0
477,423,116,-87.6811591434,41.6918107595,-87.6705316721,41.6919270142,26.1291542516617,26.66666667
