Knoten1,Knoten2,Zähler,Zähler_normalisiert
175,517,66,0.9897260273972602
428,508,938,0.8539850560398505
517,136,1464,0.772104607721046
136,444,1464,0.772104607721046
444,481,20,0.9968866749688667
444,270,1447,0.7747509339975094
270,213,1447,0.7747509339975094
213,214,1447,0.7747509339975094
214,520,1447,0.7747509339975094
502,379,305,0.9525217932752179
379,398,305,0.9525217932752179
398,155,305,0.9525217932752179
155,480,305,0.9525217932752179
480,44,76,0.9881693648816936
44,529,76,0.9881693648816936
529,419,11,0.9982876712328768
419,412,11,0.9982876712328768
412,533,46,0.9928393524283935
523,526,304,0.9526774595267746
515,372,181,0.9718244084682441
532,113,97,0.9849003735990037
113,531,97,0.9849003735990037
528,515,57,0.9911270236612703
444,352,62,0.9903486924034869
352,255,62,0.9903486924034869
255,254,62,0.9903486924034869
254,484,62,0.9903486924034869
484,176,163,0.974626400996264
176,333,163,0.974626400996264
333,367,163,0.974626400996264
367,502,163,0.974626400996264
452,436,177,0.9724470734744708
436,432,267,0.9584371108343711
432,446,284,0.9557907845579079
446,508,368,0.9427148194271482
484,195,74,0.9884806973848069
195,196,74,0.9884806973848069
196,328,74,0.9884806973848069
328,327,74,0.9884806973848069
327,447,74,0.9884806973848069
447,41,28,0.9956413449564134
41,112,28,0.9956413449564134
112,42,28,0.9956413449564134
42,43,28,0.9956413449564134
43,480,28,0.9956413449564134
533,387,210,0.9673100871731009
387,452,81,0.9873910336239103
481,444,65,0.989881693648817
482,511,983,0.8469800747198007
523,461,123,0.9808530510585305
461,20,286,0.9554794520547946
20,25,362,0.9436488169364882
524,189,713,0.8890099626400996
189,190,713,0.8890099626400996
190,495,713,0.8890099626400996
495,226,699,0.8911892901618929
226,453,699,0.8911892901618929
453,124,699,0.8911892901618929
124,125,699,0.8911892901618929
125,429,699,0.8911892901618929
429,426,699,0.8911892901618929
426,375,701,0.8908779576587795
375,271,701,0.8908779576587795
271,272,701,0.8908779576587795
272,274,701,0.8908779576587795
274,441,701,0.8908779576587795
443,461,163,0.974626400996264
445,446,115,0.9820983810709838
434,154,152,0.9763387297633873
154,470,152,0.9763387297633873
470,509,124,0.9806973848069739
509,290,91,0.9858343711083437
290,151,91,0.9858343711083437
151,473,91,0.9858343711083437
473,244,86,0.986612702366127
244,158,86,0.986612702366127
158,159,86,0.986612702366127
159,253,86,0.986612702366127
253,500,86,0.986612702366127
459,469,511,0.9204545454545454
469,140,475,0.9260585305105853
140,152,475,0.9260585305105853
152,220,475,0.9260585305105853
220,494,475,0.9260585305105853
460,117,175,0.972758405977584
117,484,175,0.972758405977584
509,145,108,0.9831880448318805
145,144,108,0.9831880448318805
144,383,108,0.9831880448318805
383,365,108,0.9831880448318805
365,513,108,0.9831880448318805
513,479,111,0.9827210460772104
479,218,46,0.9928393524283935
218,489,46,0.9928393524283935
489,338,61,0.9905043586550436
338,288,61,0.9905043586550436
288,204,61,0.9905043586550436
204,472,61,0.9905043586550436
472,148,89,0.986145703611457
148,498,89,0.986145703611457
494,371,222,0.9654420921544209
371,370,222,0.9654420921544209
370,294,222,0.9654420921544209
294,205,222,0.9654420921544209
205,206,222,0.9654420921544209
206,504,222,0.9654420921544209
387,475,130,0.9797633872976339
475,256,84,0.9869240348692403
256,501,84,0.9869240348692403
501,491,93,0.9855230386052304
491,219,96,0.9850560398505604
219,211,96,0.9850560398505604
211,469,96,0.9850560398505604
480,359,257,0.9599937733499377
359,463,257,0.9599937733499377
458,314,37,0.9942403486924035
314,308,37,0.9942403486924035
308,243,37,0.9942403486924035
243,472,37,0.9942403486924035
475,436,90,0.9859900373599004
469,156,132,0.9794520547945206
156,391,132,0.9794520547945206
391,478,132,0.9794520547945206
415,143,167,0.9740037359900373
143,74,167,0.9740037359900373
74,73,167,0.9740037359900373
73,80,167,0.9740037359900373
80,58,74,0.9884806973848069
58,59,74,0.9884806973848069
59,86,74,0.9884806973848069
86,142,74,0.9884806973848069
142,470,74,0.9884806973848069
470,235,103,0.9839663760896638
235,474,103,0.9839663760896638
463,123,73,0.9886363636363636
123,486,73,0.9886363636363636
80,202,93,0.9855230386052304
202,203,76,0.9881693648816936
203,315,76,0.9881693648816936
315,509,76,0.9881693648816936
479,135,77,0.988013698630137
135,134,77,0.988013698630137
134,320,77,0.988013698630137
320,289,77,0.988013698630137
289,425,77,0.988013698630137
425,331,65,0.989881693648817
331,466,65,0.989881693648817
466,339,18,0.9971980074719801
339,467,18,0.9971980074719801
467,349,30,0.9953300124533001
349,231,30,0.9953300124533001
231,171,30,0.9953300124533001
171,476,30,0.9953300124533001
476,310,33,0.9948630136986302
310,462,33,0.9948630136986302
462,120,35,0.9945516811955168
120,490,35,0.9945516811955168
490,366,34,0.9947073474470735
366,514,34,0.9947073474470735
514,342,36,0.9943960149439601
342,464,36,0.9943960149439601
431,496,3,0.9995330012453301
531,534,39,0.9939290161892902
534,537,19,0.9970423412204235
537,536,15,0.9976650062266501
536,437,18,0.9971980074719801
517,164,36,0.9943960149439601
164,163,36,0.9943960149439601
163,166,36,0.9943960149439601
166,307,36,0.9943960149439601
307,306,36,0.9943960149439601
306,460,36,0.9943960149439601
474,258,30,0.9953300124533001
258,473,30,0.9953300124533001
500,406,27,0.9957970112079702
406,512,27,0.9957970112079702
162,29,192,0.9701120797011208
503,491,6,0.99906600249066
22,437,5,0.9992216687422167
527,518,56,0.9912826899128269
518,6,67,0.9895703611457036
496,455,1,0.9998443337484434
